bp,w/f,sm,a/w,d/w,ir,hits,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,age,height,weight,value,wage,attacking,crossing,finishing,heading accuracy,short passing,volleys,skill,dribbling,curve,fk accuracy,long passing,ball control,movement,acceleration,sprint speed,agility,reactions,balance,power,shot power,jumping,stamina,strength,long shots,mentality,aggression,interceptions,positioning,vision,penalties,composure,defending,marking,standing tackle,sliding tackle,goalkeeping,gk diving,gk handling,gk kicking,gk positioning,gk reflexes,total stats,base stats,pac,sho,pas,dri,def,phy,ova
CDM,3,3,2,0,1,13,60,60,60,62,62,62,62,62,63,63,63,63,65,65,65,63,66,67,67,67,66,66,67,67,67,66,17,27,5.1,163.0,950000,6000,281,59,51,57,65,49.0,317,64,58.0,65,65,65,336,61,60,74.0,68,73.0,357,63,90.0,80,63,61,309,78,66.0,60.0,63.0,42,62.0,201,67,68,66.0,51,9,14,8,11,9,1852,382,60,55,63,66,66,72,68
CB,3,2,1,2,1,5,44,44,44,38,39,39,39,38,39,39,39,40,44,44,44,40,53,55,55,55,53,56,63,63,63,56,15,22,6.5,198.0,425000,2000,198,32,27,63,46,30.0,170,28,28.0,29,40,45,228,45,54,41.0,55,33.0,308,50,72.0,67,90,29,210,54,59.0,29.0,37.0,31,54.0,191,64,64,63.0,46,10,10,5,11,10,1351,296,50,32,39,36,63,76,63
RW,4,3,0,0,2,25,74,74,74,77,76,76,76,77,75,75,75,75,71,71,71,75,69,65,65,65,69,68,60,60,60,68,19,27,5.1,152.0,8000000,500,348,72,79,50,71,76.0,371,77,80.0,76,66,72,426,89,90,88.0,74,85.0,355,81,60.0,77,57,80,325,53,60.0,78.0,66.0,68,77.0,174,56,60,58.0,56,8,13,6,15,14,2055,435,90,79,70,77,58,61,76
CB,1,2,1,2,2,3,51,51,51,47,49,49,49,47,49,49,49,48,55,55,55,48,60,66,66,66,60,63,72,72,72,63,18,31,6.2,165.0,27000000,20000,257,42,35,76,68,36.0,237,44,30.0,48,60,55,271,42,45,53.0,74,57.0,260,59,68.0,32,68,33,249,60,75.0,35.0,37.0,42,73.0,229,78,77,74.0,54,10,8,12,16,8,1557,321,44,40,53,50,77,57,73
CDM,2,2,2,2,1,8,54,54,54,54,55,55,55,54,56,56,56,55,56,56,56,55,55,56,56,56,55,55,55,55,55,55,14,18,6.0,157.0,200000,500,242,41,40,52,61,48.0,240,54,36.0,38,56,56,311,67,65,62.0,54,63.0,300,64,60.0,64,54,58,260,68,47.0,54.0,52.0,39,54.0,165,52,54,59.0,43,8,8,9,8,10,1561,335,66,49,52,56,52,60,57
LB,2,2,2,2,1,7,43,43,43,51,47,47,47,51,49,49,49,52,48,48,48,52,55,51,51,51,55,55,52,52,52,55,14,20,5.1,134.0,180000,750,203,52,23,45,57,26.0,204,45,25.0,34,46,54,376,85,84,80.0,52,75.0,210,20,66.0,49,55,20,218,54,47.0,42.0,40.0,35,52.0,152,44,55,53.0,46,12,7,8,13,6,1409,312,84,24,48,53,49,54,57
CB,3,2,2,2,1,4,48,48,48,47,46,46,46,47,46,46,46,49,50,50,50,49,58,58,58,58,58,59,63,63,63,59,18,25,6.3,185.0,475000,4000,232,54,26,64,58,30.0,204,39,34.0,27,45,59,265,54,69,40.0,57,45.0,287,53,63.0,59,80,32,232,64,57.0,31.0,40.0,40,43.0,181,60,63,58.0,63,13,14,7,14,15,1464,323,62,34,49,46,61,71,63
CM,4,4,0,0,2,78,78,78,78,79,80,80,80,79,81,81,81,80,82,82,82,80,77,78,78,78,77,75,72,72,72,75,19,32,6.1,190.0,195000000,33000,380,75,78,65,85,77.0,409,82,80.0,83,83,81,375,73,70,73.0,86,73.0,375,81,49.0,85,79,81,374,67,72.0,74.0,83.0,78,82.0,212,75,73,64.0,56,6,11,16,15,8,2181,462,71,79,82,81,72,77,83
ST,4,3,2,2,1,16,66,66,66,64,66,66,66,64,65,65,65,63,60,60,60,63,50,51,51,51,50,49,49,49,49,49,17,24,6.1,185.0,875000,7000,300,43,70,62,62,63.0,293,66,58.0,50,54,65,345,67,74,71.0,65,68.0,340,67,73.0,67,72,61,268,59,19.0,65.0,63.0,62,63.0,113,39,48,26.0,54,14,13,12,7,8,1713,367,71,67,56,66,39,68,66
ST,4,3,0,2,1,104,71,71,71,71,71,71,71,71,69,69,69,69,61,61,61,69,53,49,49,49,53,50,44,44,44,50,16,20,5.8,154.0,41000000,14000,314,54,74,53,64,69.0,317,75,59.0,58,52,73,412,88,86,83.0,74,81.0,357,73,81.0,72,63,68,277,63,23.0,68.0,52.0,71,69.0,79,23,29,27.0,45,8,11,11,8,7,1801,385,87,72,57,75,28,66,71
GK,3,1,2,2,1,4,24,24,24,21,24,24,24,21,25,25,25,23,27,27,27,23,21,26,26,26,21,21,25,25,25,21,69,28,6.2,181.0,16000000,500,72,14,7,14,28,9.0,80,11,10.0,14,29,16,180,32,15,35.0,65,33.0,207,55,50.0,22,72,8,101,22,13.0,8.0,48.0,10,28.0,45,11,18,16.0,350,69,66,73,71,71,1035,373,69,66,73,71,23,71,70
ST,3,2,2,2,1,4,49,49,49,46,47,47,47,46,45,45,45,45,39,39,39,45,32,29,29,29,32,31,28,28,28,31,15,19,5.1,150.0,50000,800,222,33,56,55,37,41.0,182,43,38.0,33,28,40,291,60,57,57.0,47,70.0,258,45,62.0,56,45,50,198,32,11.0,52.0,46.0,57,45.0,39,15,14,10.0,55,9,11,9,14,12,1245,255,58,52,37,45,17,46,49
CM,3,3,2,2,1,18,72,72,72,69,72,72,72,69,73,73,73,70,75,75,75,70,70,74,74,74,70,71,72,72,72,71,19,26,6.0,170.0,8000000,22000,347,55,75,74,76,67.0,353,69,68.0,67,74,75,315,55,62,60.0,74,64.0,360,74,66.0,77,69,74,370,68,75.0,73.0,76.0,78,66.0,216,70,73,73.0,57,13,7,9,16,12,2018,418,59,74,71,70,73,71,75
CF,4,4,0,2,2,14,75,75,75,77,78,78,78,77,77,77,77,75,71,71,71,75,56,57,57,57,56,52,48,48,48,52,18,35,5.1,161.0,31000000,13000,349,64,78,54,76,77.0,396,83,80.0,82,70,81,378,71,70,79.0,74,84.0,352,83,62.0,62,64,81,335,70,32.0,79.0,74.0,80,84.0,96,38,30,28.0,58,14,12,14,6,12,1964,405,70,80,73,82,35,65,75
CM,3,3,2,0,1,8,71,71,71,70,71,71,71,70,72,72,72,71,72,72,72,71,71,72,72,72,71,71,72,72,72,71,17,30,5.11,168.0,0,0,326,58,66,73,73,56.0,300,71,55.0,31,71,72,364,76,79,79.0,70,60.0,403,75,83.0,91,83,71,326,79,68.0,69.0,71.0,39,72.0,206,67,69,70.0,50,10,8,10,14,8,1975,436,78,67,66,72,69,84,72
LW,3,3,0,0,1,193,60,60,60,65,63,63,63,65,62,62,62,63,52,52,52,63,48,40,40,40,48,45,36,36,36,45,15,19,5.9,139.0,975000,1000,266,58,63,44,51,50.0,252,70,45.0,31,40,66,400,92,93,92.0,48,75.0,251,61,57.0,49,36,48,239,34,19.0,58.0,61.0,67,53.0,84,29,29,26.0,52,9,10,8,14,11,1544,341,93,59,51,70,28,40,64
LW,4,4,2,1,2,8,69,69,69,74,72,72,72,74,73,73,73,72,66,66,66,72,53,50,50,50,53,48,42,42,42,48,18,33,5.8,143.0,24000000,16000,317,75,66,45,68,63.0,363,72,76.0,75,65,75,384,80,81,83.0,67,73.0,360,68,81.0,63,70,78,312,72,19.0,76.0,75.0,70,71.0,68,23,23,22.0,56,13,11,10,10,12,1860,388,81,69,71,74,24,69,73
LB,2,2,2,2,1,4,57,57,57,59,57,57,57,59,57,57,57,59,58,58,58,59,62,61,61,61,62,62,61,61,61,62,16,31,5.11,168.0,325000,900,269,63,49,58,62,37.0,295,61,62.0,53,59,60,324,65,65,72.0,57,65.0,326,62,73.0,74,62,55,264,61,60.0,53.0,45.0,45,52.0,183,61,62,60.0,52,9,15,8,11,9,1713,363,65,52,58,62,61,65,64
CAM,3,3,2,2,1,7,49,49,49,57,55,55,55,57,58,58,58,58,57,57,57,58,53,53,53,53,53,52,47,47,47,52,14,18,5.8,143.0,325000,5000,250,57,40,41,66,46.0,292,58,59.0,53,61,61,321,65,59,73.0,50,74.0,216,46,48.0,54,36,32,251,49,36.0,53.0,63.0,50,63.0,148,41,55,52.0,44,8,14,7,10,5,1522,315,62,41,62,61,45,44,59
CB,3,2,2,2,1,3,54,54,54,56,56,56,56,56,58,58,58,58,61,61,61,58,62,66,66,66,62,63,67,67,67,63,17,24,6.3,179.0,950000,3000,234,44,39,62,67,22.0,257,64,32.0,37,62,62,273,54,65,55.0,62,37.0,272,40,45.0,65,78,44,283,72,67.0,51.0,53.0,40,57.0,201,70,68,63.0,53,11,12,5,12,13,1573,356,60,40,56,61,67,72,67
ST,4,3,2,2,1,20,72,72,72,66,68,68,68,66,64,64,64,64,58,58,58,64,48,46,46,46,48,46,45,45,45,46,16,26,6.2,179.0,34000000,500,330,47,76,75,61,71.0,270,67,51.0,38,42,72,313,65,67,58.0,68,55.0,363,70,70.0,72,79,72,271,66,19.0,75.0,47.0,64,68.0,69,18,31,20.0,52,16,7,12,7,10,1668,359,66,73,51,67,28,74,72
LM,3,3,0,2,1,16,61,61,61,68,67,67,67,68,67,67,67,68,62,62,62,68,54,48,48,48,54,50,37,37,37,50,16,22,5.8,137.0,16000000,5000,273,60,59,37,63,54.0,353,76,71.0,72,59,75,403,84,79,86.0,67,87.0,276,68,43.0,68,32,65,240,33,31.0,51.0,62.0,63,61.0,82,22,31,29.0,45,7,15,6,12,5,1672,353,81,62,62,77,29,42,68
CB,2,2,2,2,1,5,58,58,58,57,57,57,57,57,56,56,56,57,56,56,56,57,60,60,60,60,60,61,62,62,62,61,17,20,6.1,165.0,350000,650,276,48,48,62,61,57.0,251,60,40.0,37,54,60,327,67,67,66.0,62,65.0,301,60,69.0,60,68,44,262,69,57.0,54.0,41.0,41,57.0,186,59,61,66.0,61,14,9,14,14,10,1664,355,67,50,51,61,60,66,61
ST,4,3,2,1,1,3,68,68,68,65,67,67,67,65,65,65,65,63,58,58,58,63,47,46,46,46,47,45,44,44,44,45,17,24,5.9,168.0,14000000,7000,303,44,62,72,67,58.0,282,69,53.0,44,48,68,358,72,73,69.0,67,77.0,326,71,77.0,50,69,59,285,59,29.0,69.0,58.0,70,57.0,65,23,22,20.0,57,12,9,14,13,9,1676,354,73,64,56,69,29,63,69
LM,2,3,0,1,1,4,66,66,66,69,68,68,68,69,68,68,68,68,64,64,64,68,58,56,56,56,58,58,53,53,53,58,17,28,5.7,141.0,11000000,6000,322,62,65,63,65,67.0,329,69,65.0,63,65,67,392,82,82,83.0,66,79.0,327,65,76.0,67,52,67,297,73,32.0,64.0,66.0,62,68.0,138,30,55,53.0,50,10,15,6,11,8,1855,387,82,65,65,70,44,61,69
RW,3,3,2,2,1,3,65,65,65,69,68,68,68,69,69,69,69,69,68,68,68,69,68,67,67,67,68,67,65,65,65,67,18,31,6.2,163.0,775000,1000,311,74,65,46,72,54.0,289,71,46.0,38,63,71,332,73,74,69.0,63,53.0,341,65,65.0,67,74,70,314,76,68.0,61.0,69.0,40,63.0,185,55,66,64.0,62,10,16,14,7,15,1834,408,74,64,67,70,61,72,68
CAM,3,3,1,0,1,4,62,62,62,66,65,65,65,66,67,67,67,66,67,67,67,66,63,64,64,64,63,62,60,60,60,62,19,24,6.1,176.0,11000000,2000,283,62,56,49,69,47.0,345,72,68.0,64,68,73,313,60,55,75.0,64,59.0,299,65,33.0,67,67,67,291,58,55.0,60.0,70.0,48,63.0,183,60,63,60.0,62,16,15,8,12,11,1776,378,57,59,67,72,59,64,68
GK,3,1,2,2,1,29,28,28,28,26,27,27,27,26,26,26,26,26,24,24,24,26,25,24,24,24,25,25,25,25,25,25,62,29,6.0,183.0,300000,2000,71,15,14,15,13,14.0,76,14,15.0,15,12,20,253,44,44,58.0,67,40.0,239,50,72.0,40,63,14,101,14,16.0,13.0,45.0,13,28.0,47,20,14,13.0,310,64,61,67,57,61,1097,354,64,61,67,61,44,57,63
CAM,3,4,0,1,1,132,59,59,59,68,66,66,66,68,67,67,67,67,60,60,60,67,52,47,47,47,52,48,37,37,37,48,15,21,5.7,161.0,2000000,5000,266,65,63,23,64,51.0,312,76,66.0,40,58,72,366,78,76,78.0,58,76.0,235,59,31.0,52,36,57,249,35,23.0,62.0,65.0,64,65.0,102,34,33,35.0,54,8,8,14,10,14,1584,344,77,60,62,74,31,40,68
CB,2,3,2,2,1,715,58,58,58,59,59,59,59,59,61,61,61,62,65,65,65,62,69,72,72,72,69,70,75,75,75,70,17,20,6.3,179.0,105000000,68000,265,46,40,69,75,35.0,288,62,47.0,41,67,71,325,67,78,54.0,70,56.0,312,52,76.0,64,79,41,290,72,75.0,41.0,56.0,46,72.0,225,74,80,71.0,52,7,13,11,8,13,1757,390,73,43,61,64,75,74,75
LB,2,2,2,2,1,18,47,47,47,49,47,47,47,49,47,47,47,50,47,47,47,50,57,53,53,53,57,57,56,56,56,57,13,19,5.9,161.0,300000,2000,213,50,40,48,47,28.0,203,48,35.0,26,41,53,326,69,69,68.0,56,64.0,262,43,72.0,64,57,26,220,48,58.0,36.0,38.0,40,43.0,173,55,58,60.0,42,8,5,12,8,9,1439,316,69,37,43,53,56,58,59
RB,2,2,2,2,1,8,52,52,52,56,53,53,53,56,54,54,54,58,57,57,57,58,66,63,63,63,66,66,65,65,65,66,15,24,5.9,161.0,11000000,3000,259,64,37,60,64,34.0,250,58,38.0,31,56,67,335,71,72,63.0,53,76.0,299,46,73.0,72,71,37,238,58,62.0,38.0,40.0,40,52.0,205,65,71,69.0,50,8,10,6,15,11,1636,363,72,39,55,62,66,69,68
RM,3,3,0,0,1,28,69,69,69,72,72,72,72,72,72,72,72,73,71,71,71,73,66,65,65,65,66,64,60,60,60,64,17,26,5.9,154.0,38000000,10000,339,77,66,60,73,63.0,381,75,82.0,76,74,74,360,73,70,74.0,67,76.0,360,77,75.0,76,62,70,338,60,55.0,69.0,76.0,78,73.0,166,60,59,47.0,56,10,12,13,11,10,2000,413,71,70,75,74,57,66,72
CAM,2,3,0,1,1,4,58,58,58,62,61,61,61,62,62,62,62,61,57,57,57,61,52,50,50,50,52,49,44,44,44,49,18,22,5.1,154.0,450000,2000,255,51,57,38,57,52.0,296,63,65.0,60,44,64,350,72,69,83.0,57,69.0,313,56,68.0,74,53,62,307,76,42.0,62.0,64.0,63,56.0,93,25,36,32.0,68,16,14,14,10,14,1682,347,70,58,56,65,34,64,62
CM,2,2,2,0,1,3,62,62,62,61,62,62,62,61,63,63,63,63,66,66,66,63,65,68,68,68,65,66,68,68,68,66,19,27,5.9,163.0,650000,5000,292,45,52,68,69,58.0,271,60,39.0,36,69,67,343,71,69,70.0,63,70.0,366,61,84.0,83,72,66,313,80,65.0,56.0,59.0,53,62.0,195,61,68,66.0,63,9,16,7,16,15,1843,392,70,57,59,64,65,77,66
CAM,4,3,2,2,2,35,70,70,70,76,75,75,75,76,76,76,76,77,75,75,75,77,68,65,65,65,68,63,54,54,54,63,16,27,5.9,154.0,95000000,36000,326,78,69,40,77,62.0,368,77,69.0,71,72,79,377,75,72,77.0,76,77.0,342,68,61.0,85,60,68,337,43,65.0,83.0,78.0,68,73.0,133,49,44,40.0,42,6,6,10,10,10,1925,408,73,69,76,78,49,63,77
RM,3,3,2,2,1,6,62,62,62,64,63,63,63,64,63,63,63,66,60,60,60,66,55,51,51,51,55,53,45,45,45,53,15,22,6.0,161.0,12000000,3000,297,66,61,58,65,47.0,279,62,60.0,35,58,64,346,81,79,60.0,59,67.0,310,61,60.0,85,59,45,270,59,34.0,62.0,63.0,52,51.0,90,26,32,32.0,47,9,12,7,12,7,1639,361,80,57,62,63,33,66,67
CDM,3,2,0,2,1,6,59,59,59,60,60,60,60,60,61,61,61,61,62,62,62,61,63,64,64,64,63,63,64,64,64,63,15,20,6.0,168.0,575000,1000,282,58,52,58,66,48.0,311,59,63.0,63,62,64,332,68,64,70.0,58,72.0,318,66,64.0,65,68,55,304,64,67.0,54.0,63.0,56,67.0,188,60,65,63.0,49,10,5,12,8,14,1784,376,66,56,63,62,63,66,64
RB,3,2,0,2,1,50,60,60,60,65,62,62,62,65,63,63,63,66,63,63,63,66,67,65,65,65,67,67,65,65,65,67,16,20,6.0,165.0,15000000,5000,282,67,47,62,64,42.0,293,73,51.0,37,62,70,352,72,73,73.0,66,68.0,313,49,73.0,74,66,51,282,66,62.0,61.0,47.0,46,58.0,194,57,69,68.0,52,8,14,11,7,12,1768,384,73,49,59,72,63,68,69
LB,2,3,0,2,1,146,67,67,67,73,71,71,71,73,72,72,72,76,73,73,73,76,78,75,75,75,78,77,74,74,74,77,19,27,5.11,183.0,145000000,56000,313,81,48,60,75,49.0,323,75,59.0,42,73,74,403,88,87,74.0,80,74.0,321,65,62.0,77,77,40,354,73,77.0,72.0,76.0,56,77.0,224,74,74,76.0,58,13,9,15,7,14,1996,435,87,51,74,75,73,75,80
CB,3,2,2,0,1,18,57,57,57,54,56,56,56,54,56,56,56,56,61,61,61,56,62,66,66,66,62,63,68,68,68,63,15,26,6.2,185.0,11000000,3000,240,44,36,63,63,34.0,262,58,31.0,44,67,62,279,53,63,45.0,65,53.0,376,79,78.0,72,82,65,268,72,67.0,42.0,49.0,38,65.0,197,64,68,65.0,41,5,12,6,6,12,1663,365,59,51,54,58,66,77,68
RW,2,2,0,1,1,4,49,49,49,49,49,49,49,49,47,47,47,47,41,41,41,47,36,32,32,32,36,34,29,29,29,34,13,31,5.9,139.0,25000,2000,221,40,55,38,43,45.0,212,55,38.0,37,37,45,305,67,62,54.0,38,84.0,212,64,38.0,36,34,40,185,31,21.0,45.0,42.0,46,42.0,62,18,24,20.0,49,13,5,12,7,12,1246,267,64,52,41,53,23,34,49
ST,3,2,2,2,1,20,59,59,59,57,58,58,58,57,56,56,56,54,48,48,48,54,41,37,37,37,41,39,35,35,35,39,17,19,5.7,148.0,325000,1000,253,31,62,63,53,44.0,216,56,42.0,31,29,58,334,71,68,72.0,57,66.0,279,53,74.0,57,43,52,224,36,23.0,63.0,49.0,53,55.0,56,22,15,19.0,57,9,12,9,14,13,1419,299,69,57,43,59,24,47,59
LW,2,3,2,1,1,7,72,72,72,74,73,73,73,74,71,71,71,73,64,64,64,73,57,52,52,52,57,54,46,46,46,54,17,25,5.9,150.0,0,0,337,67,69,64,68,69.0,319,77,65.0,46,58,73,425,90,92,90.0,72,81.0,338,75,68.0,72,61,62,282,62,32.0,72.0,60.0,56,71.0,81,24,30,27.0,52,13,10,9,9,11,1834,395,91,68,63,77,32,64,74
CDM,3,3,1,0,1,35,58,58,58,59,59,59,59,59,61,61,61,59,61,61,61,59,62,64,64,64,62,62,64,64,64,62,15,19,5.11,154.0,950000,11000,266,49,52,60,66,39.0,294,60,59.0,51,62,62,341,68,63,76.0,65,69.0,300,63,60.0,58,61,58,290,69,63.0,43.0,61.0,54,60.0,195,65,66,64.0,46,10,5,12,12,7,1732,368,65,54,60,63,64,62,65
CAM,2,2,2,1,1,4,57,57,57,60,60,60,60,60,61,61,61,59,58,58,58,59,48,49,49,49,48,45,42,42,42,45,14,39,5.11,168.0,0,0,283,59,59,41,60,64.0,319,65,64.0,68,61,61,306,51,53,72.0,58,72.0,292,61,77.0,46,51,57,274,38,55.0,60.0,64.0,57,64.0,81,40,26,15.0,41,6,11,8,6,10,1596,321,52,59,61,65,36,48,60
LWB,2,3,0,2,1,6,54,54,54,58,55,55,55,58,55,55,55,58,54,54,54,58,64,60,60,60,64,63,63,63,63,63,15,25,5.8,168.0,625000,3000,249,68,40,49,56,36.0,259,67,53.0,39,39,61,328,67,67,64.0,55,75.0,285,53,57.0,64,70,41,277,72,66.0,52.0,45.0,42,56.0,194,58,68,68.0,49,12,9,8,10,10,1641,359,67,43,53,65,63,68,65
CB,3,2,2,2,2,10,50,50,50,47,49,49,49,47,51,51,51,50,59,59,59,50,62,69,69,69,62,63,73,73,73,63,18,34,6.2,170.0,15000000,11000,243,44,20,74,68,37.0,259,47,42.0,43,65,62,204,32,32,34.0,70,36.0,304,62,66.0,53,79,44,290,77,75.0,45.0,45.0,48,73.0,225,74,77,74.0,59,14,8,16,6,15,1584,322,32,37,56,51,75,71,73
CDM,4,2,2,0,1,6,53,53,53,55,54,54,54,55,56,56,56,56,59,59,59,56,59,60,60,60,59,58,58,58,58,58,12,22,5.1,154.0,350000,500,266,57,47,53,64,45.0,275,56,52.0,50,60,57,274,49,46,62.0,57,60.0,301,56,52.0,75,64,54,279,61,58.0,52.0,54.0,54,62.0,176,60,59,57.0,38,6,5,14,6,7,1609,338,47,51,59,57,58,66,61
LM,3,2,0,2,1,4,54,54,54,60,58,58,58,60,59,59,59,60,54,54,54,60,47,45,45,45,47,44,38,38,38,44,13,19,5.1,146.0,550000,1000,244,53,46,42,60,43.0,274,68,47.0,35,58,66,349,80,75,75.0,43,76.0,262,54,56.0,61,46,45,244,63,22.0,51.0,53.0,55,52.0,77,28,27,22.0,44,10,5,7,9,13,1494,328,77,48,55,67,27,54,61
RM,4,3,2,1,1,3,59,59,59,67,63,63,63,67,62,62,62,66,55,55,55,66,53,44,44,44,53,48,35,35,35,48,17,27,5.8,134.0,800000,5000,269,69,61,34,57,48.0,291,71,67.0,38,48,67,407,88,88,90.0,63,78.0,257,52,54.0,72,36,43,233,36,28.0,59.0,48.0,62,53.0,74,40,16,18.0,60,9,8,15,12,16,1591,345,88,55,56,72,28,46,67
CDM,3,2,2,0,1,8,65,65,65,65,65,65,65,65,66,66,66,66,68,68,68,66,68,69,69,69,68,68,69,69,69,68,18,26,5.11,159.0,11000000,6000,305,64,56,67,66,52.0,309,63,57.0,50,69,70,339,64,70,68.0,66,71.0,359,65,78.0,78,72,66,340,70,69.0,68.0,67.0,66,66.0,205,71,70,64.0,55,12,8,8,13,14,1912,401,67,61,65,66,69,73,68
CB,3,2,2,0,1,15,53,53,53,48,50,50,50,48,51,51,51,50,58,58,58,50,61,67,67,67,61,63,70,70,70,63,17,26,6.4,194.0,2000000,7000,256,43,38,74,66,35.0,284,43,64.0,54,61,62,209,35,41,33.0,67,33.0,329,67,68.0,65,83,46,271,67,72.0,35.0,46.0,51,54.0,208,67,71,70.0,58,11,9,14,15,9,1615,333,38,46,56,48,70,75,70
RWB,4,3,0,0,1,12,65,65,65,67,66,66,66,67,65,65,65,67,63,63,63,67,68,65,65,65,68,67,65,65,65,67,17,25,5.9,174.0,12000000,4000,296,66,58,53,62,57.0,292,70,64.0,39,54,65,375,79,85,73.0,71,67.0,349,78,65.0,78,68,60,315,75,64.0,61.0,60.0,55,61.0,191,64,62,65.0,54,9,12,14,8,11,1872,407,82,62,60,69,62,72,69
ST,3,2,0,2,1,5,64,64,64,62,63,63,63,62,60,60,60,62,53,53,53,62,47,41,41,41,47,44,37,37,37,44,18,28,6.2,185.0,475000,2000,299,54,60,57,61,67.0,259,61,64.0,32,40,62,343,72,85,63.0,64,59.0,330,68,56.0,75,76,55,228,30,20.0,66.0,47.0,65,66.0,51,18,16,17.0,62,15,8,15,13,11,1572,343,79,62,52,62,22,66,64
CM,4,3,2,0,1,5,66,66,66,68,67,67,67,68,68,68,68,68,68,68,68,68,64,65,65,65,64,62,60,60,60,62,17,32,5.9,176.0,800000,10000,325,79,59,58,72,57.0,366,69,75.0,76,76,70,341,63,63,73.0,65,77.0,343,79,64.0,63,67,70,333,68,63.0,65.0,68.0,69,58.0,161,59,53,49.0,52,14,6,9,15,8,1921,396,63,66,74,70,57,66,69
LB,2,2,2,2,1,3,44,44,44,47,44,44,44,47,45,45,45,48,47,47,47,48,54,52,52,52,54,55,55,55,55,55,13,19,6.2,159.0,180000,950,216,53,26,56,55,26.0,211,44,32.0,35,46,54,289,59,69,61.0,45,55.0,255,46,59.0,58,62,30,211,59,49.0,32.0,38.0,33,47.0,165,47,60,58.0,49,11,7,13,9,9,1396,306,65,31,48,49,53,60,57
CB,3,2,2,2,1,11,57,57,57,59,59,59,59,59,60,60,60,61,62,62,62,61,67,67,67,67,67,67,69,69,69,67,18,25,5.11,185.0,11000000,14000,259,56,27,64,69,43.0,275,61,45.0,43,61,65,339,75,69,71.0,60,64.0,362,73,81.0,75,70,63,297,78,66.0,55.0,52.0,46,56.0,206,64,73,69.0,61,12,11,10,13,15,1799,382,72,47,59,63,68,73,68
GK,3,1,2,2,1,115,30,30,30,31,31,31,31,31,33,33,33,32,32,32,32,32,29,29,29,29,29,29,28,28,28,29,66,20,6.2,179.0,11000000,2000,107,18,14,22,37,16.0,118,19,23.0,22,32,22,302,60,55,66.0,67,54.0,229,47,71.0,32,61,18,135,28,13.0,9.0,48.0,37,41.0,51,12,21,18.0,329,70,64,63,64,68,1271,386,70,64,63,68,57,64,67
LB,2,3,2,2,1,3,56,56,56,60,58,58,58,60,59,59,59,60,59,59,59,60,64,62,62,62,64,64,63,63,63,64,16,28,5.7,168.0,550000,4000,283,69,41,57,60,56.0,316,64,68.0,67,54,63,328,65,63,68.0,57,75.0,322,64,77.0,68,57,56,289,62,58.0,55.0,56.0,58,62.0,205,69,68,68.0,52,10,9,8,14,11,1795,367,64,51,61,64,65,62,66
LB,2,3,1,0,1,9,59,59,59,63,61,61,61,63,63,63,63,64,64,64,64,64,67,66,66,66,67,66,65,65,65,66,18,26,5.8,170.0,925000,5000,282,70,52,50,70,40.0,332,64,71.0,64,65,68,346,71,70,70.0,62,73.0,374,74,80.0,74,74,72,288,68,62.0,36.0,62.0,60,60.0,194,62,66,66.0,58,13,10,8,12,15,1874,397,70,59,67,66,62,73,68
GK,2,1,2,2,1,10,26,26,26,23,26,26,26,23,26,26,26,24,26,26,26,24,20,23,23,23,20,20,21,21,21,20,65,22,6.4,194.0,875000,2000,77,12,17,18,14,16.0,84,15,11.0,13,26,19,166,24,27,31.0,60,24.0,158,49,31.0,22,40,16,121,23,11.0,17.0,55.0,15,58.0,48,23,13,12.0,327,67,64,65,65,66,981,353,67,64,65,66,26,65,66
CB,4,2,2,0,3,524,68,68,68,65,67,67,67,65,67,67,67,67,72,72,72,67,76,80,80,80,76,78,84,84,84,78,19,20,6.2,196.0,495000000,80000,308,52,50,86,75,45.0,319,66,48.0,55,74,76,343,68,75,56.0,84,60.0,396,82,84.0,76,88,66,313,83,83.0,44.0,63.0,40,82.0,253,86,85,82.0,56,12,11,11,12,10,1988,435,72,59,66,69,85,84,85
RW,3,3,2,2,1,24,69,69,69,72,71,71,71,72,71,71,71,72,69,69,69,72,70,66,66,66,70,68,63,63,63,68,20,27,6.1,159.0,33000000,29000,319,69,64,58,72,56.0,328,74,66.0,54,63,71,395,85,78,83.0,72,77.0,339,74,62.0,79,59,65,301,61,60.0,70.0,68.0,42,68.0,189,61,63,65.0,67,15,14,15,8,15,1938,415,81,65,68,74,62,65,72
CB,4,2,2,0,1,4,57,57,57,59,58,58,58,59,60,60,60,61,61,61,61,61,62,62,62,62,62,62,63,63,63,62,15,22,6.1,174.0,450000,1000,278,56,55,64,64,39.0,267,66,35.0,46,58,62,295,68,58,60.0,55,54.0,306,45,70.0,72,77,42,286,57,62.0,50.0,63.0,54,61.0,183,59,67,57.0,54,6,15,12,7,14,1669,367,63,49,59,63,62,71,63
ST,2,3,2,2,1,4,50,50,50,45,47,47,47,45,43,43,43,44,37,37,37,44,33,29,29,29,33,32,31,31,31,32,14,18,6.1,170.0,60000,1000,221,28,52,52,39,50.0,170,41,39.0,22,22,46,282,63,68,59.0,43,49.0,281,56,69.0,50,62,44,184,33,12.0,47.0,33.0,59,39.0,43,13,17,13.0,52,13,9,12,8,10,1233,266,66,51,32,45,18,54,50
